City,Country,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Date
Victoria,SC,22.29,114.16,69.01,68.0,20.0,11.41,1584312052.0
Alyangula,AU,-13.85,136.42,73.4,94.0,5.0,4.16,1584312217.0
Maiduguri,NG,11.85,13.16,69.55,11.0,2.0,7.65,1584312217.0
Andernach,DE,50.43,7.4,50.0,56.0,82.0,5.82,1584312218.0
Hovd,MN,48.01,91.64,23.65,31.0,51.0,5.17,1584312218.0
Kaitangata,NZ,-46.28,169.85,53.38,81.0,69.0,33.15,1584312218.0
Patea,NZ,-39.76,174.48,68.0,77.0,99.0,5.01,1584312218.0
Indian Head,CA,38.6,-77.16,51.01,66.0,90.0,5.82,1584312218.0
La Ronge,CA,55.1,-105.28,19.4,52.0,75.0,12.75,1584311959.0
Hilo,US,19.73,-155.09,78.8,74.0,90.0,13.87,1584312015.0
Mafinga,TZ,-7.25,35.07,68.13,94.0,94.0,2.48,1584312219.0
Camacha,PT,33.08,-16.33,62.6,67.0,20.0,12.75,1584312219.0
Smithers,CA,54.78,-127.17,30.2,30.0,5.0,3.36,1584311922.0
Witu,KE,-2.39,40.44,81.09,85.0,100.0,6.11,1584312219.0
Mataura,PF,-46.19,168.86,55.99,80.0,89.0,10.0,1584312219.0
Constitucion,MX,-35.33,-72.42,53.1,86.0,0.0,7.0,1584312155.0
Munirabad,IN,15.33,76.33,67.98,83.0,10.0,3.91,1584312220.0
Pozo Colorado,PY,-23.49,-58.8,85.59,44.0,74.0,4.59,1584312220.0
Port Lincoln,AU,-34.73,135.87,70.32,51.0,75.0,13.62,1584312220.0
Bataipora,BR,-22.3,-53.27,78.13,73.0,46.0,1.95,1584312220.0
Manzil Salim,TN,35.86,8.48,53.6,62.0,40.0,4.7,1584312220.0
Bluff,NZ,-46.6,168.33,55.99,80.0,87.0,10.0,1584312220.0
Kumbo,CM,6.2,10.67,66.07,23.0,34.0,5.68,1584312221.0
Tazovskiy,RU,67.47,78.7,-10.93,99.0,65.0,7.83,1584312221.0
Coquimbo,CL,-29.95,-71.34,62.6,82.0,90.0,8.05,1584312221.0
Cherskiy,RU,68.75,161.3,-0.67,89.0,88.0,3.83,1584312221.0
Shitanjing,CN,39.23,106.34,39.99,9.0,100.0,1.01,1584312221.0
Lufkin,US,31.34,-94.73,77.0,69.0,1.0,6.93,1584312221.0
Hasaki,JP,35.73,140.83,41.0,93.0,75.0,4.7,1584312221.0
Clyde River,CA,70.47,-68.59,-22.0,67.0,1.0,14.99,1584312221.0
Upernavik,GL,72.79,-56.15,-23.03,75.0,1.0,8.03,1584312222.0
Mount Gambier,AU,-37.83,140.77,50.0,93.0,0.0,4.29,1584312222.0
Port Hedland,AU,-20.32,118.57,78.8,88.0,0.0,4.7,1584312274.0
Bambous Virieux,MU,-20.34,57.76,75.0,94.0,40.0,3.36,1584312274.0
Manokwari,ID,-0.87,134.08,76.86,69.0,100.0,2.35,1584312275.0
Umm Lajj,SA,25.02,37.27,68.67,48.0,0.0,7.72,1584312275.0
Tura,RU,25.52,90.22,64.6,74.0,82.0,0.83,1584312275.0
Viedma,AR,-40.81,-63.0,64.56,50.0,0.0,16.96,1584312275.0
Voh,NC,-20.97,164.7,81.3,78.0,35.0,11.05,1584312275.0
Camana,PE,-16.62,-72.71,67.17,87.0,98.0,5.46,1584312275.0
Piskivka,UA,50.69,29.62,30.99,58.0,0.0,6.71,1584312275.0
Jieshi,CN,22.81,115.83,64.99,64.0,36.0,9.62,1584312276.0
Quang Ngai,VN,15.12,108.8,74.39,85.0,45.0,5.06,1584311999.0
Bella Union,UY,-30.28,-57.6,71.2,82.0,99.0,6.87,1584312276.0
Barrow,US,71.29,-156.79,3.2,84.0,90.0,25.28,1584312276.0
Escanaba,US,45.75,-87.06,34.0,68.0,1.0,9.17,1584312159.0
Sept-Iles,CA,50.2,-66.38,17.01,56.0,75.0,14.99,1584312277.0
Arraial Do Cabo,BR,-22.97,-42.03,80.6,78.0,5.0,13.87,1584312270.0
Sitka,US,57.05,-135.33,42.8,60.0,1.0,3.36,1584312277.0
Faanui,PF,-16.48,-151.75,82.71,77.0,1.0,12.64,1584312266.0
Yellowknife,CA,62.46,-114.35,23.0,45.0,75.0,28.86,1584312278.0
Bredasdorp,ZA,-34.53,20.04,64.4,72.0,72.0,11.41,1584312279.0
Tuatapere,NZ,-46.13,167.68,55.99,80.0,98.0,10.0,1584312279.0
Ekhabi,RU,53.51,142.97,1.8,95.0,70.0,12.03,1584312279.0
Amapa,BR,1.0,-52.0,70.75,99.0,100.0,2.35,1584312279.0
Morehead,PG,37.27,-87.18,43.0,75.0,90.0,4.7,1584312280.0
Sarab,IR,38.61,44.99,46.78,59.0,35.0,6.55,1584312280.0
Lebu,CL,-37.62,-73.65,56.95,74.0,0.0,9.91,1584312280.0
Bereda,SO,43.27,-7.54,50.0,76.0,40.0,9.17,1584312280.0
Neyshabur,IR,36.21,58.8,53.78,65.0,100.0,3.36,1584312280.0
Geraldton,AU,-28.77,114.6,68.0,82.0,100.0,8.05,1584312280.0
Egvekinot,RU,66.32,-179.17,12.7,97.0,98.0,4.59,1584312280.0
Moscow,US,55.75,37.62,28.0,85.0,48.0,4.47,1584311984.0
Shakawe,BW,-18.37,21.85,68.47,89.0,95.0,2.19,1584312281.0
Narsaq,GL,60.92,-46.05,23.0,53.0,56.0,1.12,1584312281.0
Aktas,KZ,49.78,72.96,35.6,80.0,82.0,15.66,1584312281.0
Butaritari,KI,3.07,172.79,84.18,79.0,0.0,13.78,1584312281.0
Ambilobe,MG,-13.2,49.05,78.57,90.0,100.0,5.39,1584312281.0
Taltal,CL,-25.4,-70.48,59.16,90.0,27.0,3.02,1584312281.0
Jamestown,SH,42.1,-79.24,41.0,37.0,1.0,12.75,1584312253.0
Airai,PW,-8.93,125.41,76.41,61.0,76.0,1.92,1584312282.0
Jalu,LY,29.03,21.55,67.03,25.0,0.0,6.55,1584312282.0
Tecoanapa,MX,16.52,-98.75,85.06,58.0,0.0,7.58,1584312282.0
East London,ZA,-33.02,27.91,70.05,71.0,100.0,11.77,1584312282.0
New Norfolk,AU,-42.78,147.06,62.01,66.0,75.0,4.7,1584312282.0
Kodiak,US,57.79,-152.41,37.4,64.0,1.0,2.77,1584312282.0
Klaksvik,FO,62.23,-6.59,26.6,73.0,100.0,1.12,1584312283.0
Adrar,DZ,20.5,-10.07,70.34,17.0,0.0,12.3,1584312283.0
Lakes Entrance,AU,-37.88,147.98,61.0,76.0,4.0,7.72,1584312283.0
Lampa,CL,-33.28,-70.9,84.2,26.0,0.0,17.22,1584312283.0
Vila Do Maio,CV,15.13,-23.22,71.6,78.0,20.0,19.46,1584312283.0
Saint George,BM,37.1,-113.58,66.2,37.0,75.0,25.28,1584312237.0
Aljezur,PT,37.32,-8.8,54.0,75.0,12.0,26.71,1584312283.0
Nantucket,US,41.28,-70.1,39.99,51.0,1.0,9.17,1584312283.0
Gladstone,AU,-23.85,151.25,75.2,53.0,0.0,10.29,1584312284.0
Bocas Del Toro,PA,9.33,-82.25,66.99,66.0,76.0,11.01,1584312284.0
Bilibino,RU,68.05,166.44,1.15,84.0,1.0,3.71,1584312284.0
Vikhorevka,RU,56.12,101.16,30.2,92.0,75.0,11.18,1584312334.0
Puerto Ayora,EC,-0.74,-90.35,82.4,78.0,20.0,9.17,1584312334.0
Kieta,PG,-6.22,155.63,82.94,72.0,100.0,3.51,1584312335.0
Tocopilla,CL,-22.09,-70.2,59.31,61.0,0.0,1.88,1584312316.0
Sao Filipe,CV,14.9,-24.5,71.31,71.0,14.0,18.43,1584312335.0
La Asuncion,VE,11.03,-63.86,68.0,100.0,81.0,5.82,1584312335.0
Tasiilaq,GL,65.61,-37.64,10.4,39.0,100.0,5.82,1584312335.0
San Ramon,BO,37.78,-121.98,55.4,58.0,75.0,18.34,1584312169.0
The Valley,AI,18.22,-63.06,78.8,57.0,20.0,10.29,1584312335.0
Sault Sainte Marie,CA,46.52,-84.33,30.2,28.0,1.0,5.82,1584312202.0
Srivardhan,IN,18.03,73.02,75.43,45.0,0.0,5.44,1584312336.0
Kourou,GF,5.16,-52.65,80.6,74.0,17.0,5.82,1584312336.0
Saint-Lo,FR,49.12,-1.09,46.4,93.0,90.0,3.36,1584312336.0
Luhyny,UA,51.08,28.4,28.6,51.0,0.0,5.06,1584312336.0
Yining,CN,29.04,114.56,56.55,69.0,86.0,1.32,1584312336.0
Dronten,NL,52.5,5.72,51.01,81.0,90.0,4.7,1584312337.0
Kavieng,PG,-2.57,150.8,83.61,71.0,93.0,5.88,1584312337.0
Polunochnoye,RU,60.87,60.42,9.88,87.0,42.0,3.42,1584312337.0
Leshukonskoye,RU,64.9,45.76,18.95,89.0,100.0,11.43,1584312337.0
Horadiz,AZ,39.45,47.34,46.4,93.0,40.0,6.93,1584312337.0
Los Llanos De Aridane,ES,28.66,-17.92,64.4,72.0,20.0,21.92,1584312337.0
Husavik,IS,66.04,-17.34,30.2,68.0,20.0,24.16,1584312337.0
Acarau,BR,-2.89,-40.12,76.41,94.0,100.0,3.33,1584312337.0
Chuy,UY,-33.7,-53.46,64.0,71.0,100.0,6.35,1584312338.0
Port Elizabeth,ZA,-33.92,25.57,62.6,93.0,75.0,4.7,1584312264.0
Moba,CD,33.23,105.02,48.0,82.0,100.0,6.17,1584312338.0
Tual,ID,-5.67,132.75,81.84,76.0,74.0,8.5,1584312338.0
Banikoara,BJ,11.3,2.44,80.06,12.0,91.0,5.32,1584312338.0
Kalevala,RU,65.2,31.17,32.09,95.0,100.0,18.07,1584312338.0
Mpika,ZM,-11.83,31.45,65.07,98.0,100.0,3.98,1584312338.0
Yumen,CN,40.28,97.2,27.72,40.0,55.0,0.31,1584312339.0
Plettenberg Bay,ZA,-34.05,23.37,61.84,86.0,100.0,6.08,1584312339.0
Luderitz,NA,-26.65,15.16,68.0,68.0,0.0,17.22,1584312339.0
Pingdingshan,CN,33.74,113.3,57.27,42.0,100.0,2.73,1584312339.0
Lauro Muller,BR,-28.39,-49.4,67.96,89.0,32.0,4.97,1584312339.0
Alofi,NU,-19.06,-169.92,86.0,79.0,100.0,9.17,1584312339.0
Bin Qirdan,TN,33.14,11.22,56.93,82.0,0.0,3.98,1584312339.0
Amuntai,ID,-2.42,115.25,76.35,93.0,16.0,0.63,1584312339.0
Luwuk,ID,-0.95,122.79,81.12,75.0,47.0,3.44,1584312340.0
Vardo,NO,70.37,31.11,17.6,72.0,90.0,10.29,1584312340.0
Deer Lake,CA,49.17,-57.43,24.8,49.0,20.0,4.7,1584312340.0
Avarua,CK,-21.21,-159.78,84.2,79.0,100.0,5.82,1584312270.0
Ancud,CL,-41.87,-73.82,62.6,67.0,90.0,10.29,1584312340.0
Mumford,GH,5.26,-0.76,79.38,86.0,58.0,4.61,1584312340.0
Altagracia De Orituco,VE,9.86,-66.38,66.7,87.0,54.0,6.76,1584312340.0
Thunder Bay,CA,48.4,-89.32,30.99,68.0,75.0,12.75,1584312150.0
Ust-Kishert,RU,57.37,57.25,24.31,84.0,95.0,5.97,1584312341.0
Pacific Grove,US,36.62,-121.92,55.4,71.0,40.0,16.11,1584312059.0
Lavrentiya,RU,65.58,-171.0,27.88,89.0,48.0,8.81,1584312341.0
Mustasaari,FI,63.11,21.68,39.2,86.0,90.0,19.46,1584312342.0
Ponta Pora,BR,-22.54,-55.73,87.8,48.0,20.0,6.85,1584312342.0
Esso,RU,55.93,158.7,19.89,92.0,99.0,13.71,1584312342.0
Marsh Harbour,BS,26.54,-77.06,72.72,70.0,0.0,9.22,1584312342.0
Asau,TV,46.43,26.4,25.0,62.0,0.0,2.42,1584312342.0
Te Anau,NZ,-45.42,167.72,50.43,82.0,63.0,8.5,1584312394.0
Mackenzie,CA,55.3,-123.17,23.0,35.0,75.0,5.82,1584312395.0
Porto Nacional,BR,-10.71,-48.42,78.8,88.0,40.0,5.82,1584312395.0
Georgetown,SH,5.41,100.34,78.8,88.0,20.0,2.82,1584312395.0
Cayenne,GF,4.93,-52.33,80.6,74.0,17.0,5.82,1584312395.0
Baykit,RU,61.67,96.37,23.9,93.0,87.0,5.19,1584312395.0
Lasa,CN,46.62,10.7,42.8,85.0,40.0,2.24,1584312395.0
Dickinson,US,29.46,-95.05,82.99,65.0,1.0,10.29,1584312395.0
Katsuura,JP,35.13,140.3,45.0,75.0,40.0,11.41,1584312238.0
Shingu,JP,33.73,135.98,47.32,53.0,53.0,20.85,1584312396.0
Saldanha,ZA,-33.01,17.94,62.6,67.0,100.0,9.17,1584312396.0
Namatanai,PG,-3.67,152.43,83.28,76.0,98.0,12.1,1584312396.0
Marshall,US,34.38,-86.33,55.4,93.0,90.0,9.17,1584312396.0
Weligama,LK,5.97,80.42,74.21,92.0,16.0,3.83,1584312396.0
Codrington,AG,-38.27,141.97,58.5,77.0,0.0,15.14,1584312397.0
Buinsk,RU,54.95,48.28,32.0,96.0,90.0,4.47,1584312397.0
Itambacuri,BR,-18.03,-41.69,67.73,97.0,90.0,1.48,1584312397.0
Huaiyin,CN,33.59,119.02,44.42,65.0,66.0,11.48,1584312397.0
Graaff-Reinet,ZA,-32.25,24.53,60.01,88.0,88.0,5.01,1584312397.0
Umea,SE,63.83,20.26,35.6,93.0,74.0,9.17,1584312397.0
Lagoa,PT,39.05,-27.98,60.71,79.0,0.0,9.53,1584312397.0
Bambanglipuro,ID,-7.95,110.28,78.51,83.0,90.0,2.82,1584312398.0
Gelemso,ET,8.82,40.52,64.09,93.0,98.0,0.81,1584312398.0
Vostok,RU,46.49,135.88,13.68,90.0,100.0,4.88,1584312398.0
Isla Vista,US,34.41,-119.86,60.01,76.0,90.0,10.29,1584312135.0
Riohacha,CO,11.54,-72.91,82.4,69.0,20.0,17.22,1584312155.0
Georgetown,GY,5.41,100.34,78.8,88.0,20.0,2.82,1584312395.0
Puerto Baquerizo Moreno,EC,-0.9,-89.6,84.2,79.0,40.0,6.93,1584312398.0
San Rafael,AR,-34.62,-68.33,63.72,52.0,0.0,8.03,1584312398.0
Zhangjiakou,CN,40.81,114.88,34.05,44.0,32.0,4.54,1584312399.0
Nanortalik,GL,60.14,-45.24,20.21,71.0,58.0,19.89,1584312399.0
Elizabeth City,US,36.29,-76.25,50.0,76.0,90.0,12.75,1584312399.0
Salym,RU,60.06,71.48,27.77,90.0,100.0,15.08,1584312399.0
Labuhan,ID,-6.88,112.21,77.45,85.0,100.0,4.74,1584312399.0
Ponta Do Sol,CV,32.67,-17.1,62.6,63.0,40.0,17.22,1584312380.0
Tilichiki,RU,60.47,166.1,20.32,94.0,100.0,10.83,1584312399.0
Laguna,BR,38.42,-121.42,55.99,54.0,20.0,16.11,1584312400.0
Terney,RU,45.05,136.61,21.81,65.0,2.0,4.88,1584312400.0
Steinbach,CA,50.17,8.57,48.99,75.0,83.0,1.12,1584312400.0
Acari,PE,-15.43,-74.62,67.64,91.0,98.0,3.04,1584312400.0
Cockburn Town,BS,21.46,-71.14,74.23,71.0,0.0,16.26,1584312400.0
Sao Joao Da Barra,BR,-21.64,-41.05,80.6,78.0,0.0,6.93,1584312400.0
Belaya Gora,RU,68.53,146.42,-16.15,92.0,0.0,1.41,1584312400.0
Sambava,MG,-14.27,50.17,73.94,83.0,100.0,3.94,1584312387.0
Mahebourg,MU,-20.41,57.7,75.0,94.0,40.0,3.36,1584312401.0
Alugan,PH,12.22,125.48,80.19,70.0,21.0,9.57,1584312401.0
Booue,GA,-0.09,11.94,73.31,93.0,17.0,2.77,1584312401.0
Murdochville,CA,48.96,-65.5,8.53,95.0,87.0,8.66,1584312401.0
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,100.0,90.0,17.9,1584312185.0
Kinsale,IE,51.71,-8.53,37.4,86.0,20.0,11.41,1584312401.0
Beringovskiy,RU,63.05,179.32,27.63,84.0,8.0,4.68,1584312401.0
Kenai,US,60.55,-151.26,33.01,38.0,1.0,6.46,1584312454.0
Zaysan,KZ,47.47,84.87,25.75,55.0,24.0,2.01,1584312455.0
Maragogi,BR,-9.01,-35.22,82.85,76.0,91.0,10.27,1584312455.0
Ponta Delgada,PT,37.73,-25.67,53.6,81.0,20.0,4.7,1584312339.0
Salalah,OM,17.02,54.09,77.0,65.0,75.0,9.17,1584312398.0
Pevek,RU,69.7,170.31,6.1,82.0,65.0,13.62,1584312368.0
Brazzaville,CG,-4.27,15.28,84.2,70.0,20.0,2.24,1584312455.0
Waipawa,NZ,-41.41,175.52,69.8,56.0,0.0,17.22,1584312456.0
Port Macquarie,AU,-31.43,152.92,66.99,93.0,75.0,5.82,1584312419.0
Esperance,AU,-33.87,121.9,64.4,93.0,73.0,5.82,1584312376.0
Aklavik,CA,68.22,-135.01,6.8,60.0,20.0,10.29,1584312456.0
Bonavista,CA,48.65,-53.11,26.01,79.0,42.0,5.99,1584312456.0
Sao Paulo De Olivenca,BR,-3.38,-68.87,80.11,75.0,84.0,1.7,1584312456.0
Mandalgovi,MN,45.76,106.27,31.8,37.0,4.0,15.77,1584312456.0
Cessnock,AU,-32.83,151.35,70.0,77.0,20.0,14.99,1584312456.0
Havre,US,49.58,0.33,46.99,93.0,90.0,6.93,1584312457.0
Bathsheba,BB,13.22,-59.52,78.8,69.0,20.0,12.75,1584312383.0
Henties Bay,NA,-22.12,14.28,62.01,93.0,2.0,1.01,1584312457.0
Providencia,MX,28.72,-111.58,80.6,26.0,5.0,5.82,1584312457.0
Bani Walid,LY,31.76,13.99,55.98,78.0,0.0,7.47,1584312457.0
Norman Wells,CA,65.28,-126.83,17.6,72.0,20.0,16.11,1584312457.0
Hofn,IS,64.25,-15.21,41.13,68.0,100.0,30.89,1584312405.0
Bonthe,SL,7.53,-12.51,80.92,84.0,100.0,8.57,1584312364.0
Mar Del Plata,AR,-38.0,-57.56,62.01,63.0,3.0,6.93,1584312369.0
Yeppoon,AU,-23.13,150.73,73.4,64.0,27.0,8.05,1584312458.0
Teya,RU,60.38,92.63,24.44,95.0,94.0,4.61,1584312458.0
Aksarka,RU,66.56,67.8,-8.84,75.0,0.0,3.24,1584312458.0
Cabo San Lucas,MX,22.89,-109.91,78.8,47.0,90.0,9.17,1584312458.0
Mahajanga,MG,-15.72,46.32,77.0,94.0,40.0,4.7,1584312459.0
Gopalpur,IN,19.27,84.92,72.61,90.0,67.0,0.63,1584312459.0
Khani,RU,41.96,42.96,46.4,100.0,90.0,11.41,1584312459.0
Ponnani,IN,10.77,75.93,80.6,74.0,20.0,2.24,1584312459.0
Evensk,RU,61.95,159.23,13.96,74.0,100.0,14.38,1584312459.0
Agropoli,IT,40.35,15.0,53.01,53.0,0.0,8.01,1584312460.0
Kutum,SD,14.2,24.67,60.66,24.0,15.0,5.68,1584312460.0
Karratha,AU,-20.74,116.85,84.09,75.0,0.0,13.51,1584312460.0
Menongue,AO,-14.66,17.69,63.03,97.0,100.0,3.2,1584312271.0
Naze,JP,28.37,129.48,60.8,44.0,75.0,17.22,1584312460.0
Nicoya,CR,10.15,-85.45,91.4,41.0,48.0,24.16,1584312301.0
Divnomorskoye,RU,44.5,38.14,36.99,54.0,87.0,22.62,1584312460.0
High Rock,BS,26.62,-78.28,77.0,73.0,75.0,11.41,1584312461.0
Muyuka,CM,4.29,9.41,82.4,88.0,40.0,2.24,1584312461.0
Vasto,IT,42.12,14.71,41.0,75.0,0.0,5.82,1584312461.0
Avera,PF,33.19,-82.53,70.0,77.0,40.0,9.17,1584312461.0
Cao Bang,VN,22.67,106.25,64.99,89.0,100.0,2.08,1584312461.0
Luwingu,ZM,-10.26,29.93,65.97,99.0,100.0,3.65,1584312461.0
Kendal,GB,54.33,-2.75,45.0,100.0,69.0,5.99,1584312462.0
Takaungu,KE,-3.68,39.86,83.03,80.0,100.0,6.55,1584312462.0
Iqaluit,CA,63.75,-68.51,-5.01,76.0,90.0,6.93,1584312370.0
Ituango,CO,7.17,-75.76,60.51,96.0,85.0,2.71,1584312514.0
Neuquen,AR,-38.95,-68.06,80.6,18.0,0.0,9.17,1584312515.0
Nortelandia,BR,-14.45,-56.8,74.1,93.0,93.0,2.93,1584312516.0
Seddon,NZ,-37.81,144.89,62.01,87.0,0.0,3.36,1584312516.0
Sainte-Rose,GP,16.33,-61.7,75.2,83.0,90.0,5.82,1584312517.0
Mahibadhoo,MV,3.78,72.97,83.08,68.0,27.0,5.17,1584312476.0
Dunedin,NZ,-45.87,170.5,54.27,82.0,50.0,30.78,1584312518.0
Longyearbyen,SJ,78.22,15.64,-0.4,59.0,90.0,12.75,1584312411.0
Hervey Bay,AU,-25.3,152.85,77.0,60.0,76.0,11.41,1584312247.0
Takoradi,GH,4.88,-1.76,78.96,90.0,53.0,4.29,1584312521.0
Morwell,AU,-38.23,146.4,66.0,78.0,0.0,3.0,1584312522.0
Sihora,IN,23.48,80.12,63.16,46.0,35.0,4.07,1584312523.0
Miranda De Ebro,ES,42.69,-2.95,48.99,87.0,90.0,14.99,1584312524.0
Kibala,AO,9.11,18.35,76.78,14.0,0.0,4.7,1584312525.0
Hambantota,LK,6.12,81.12,77.0,100.0,8.0,4.7,1584312373.0
Selizharovo,RU,56.85,33.45,24.82,73.0,0.0,6.55,1584312527.0
Beyneu,KZ,45.32,55.2,45.84,62.0,67.0,7.31,1584312378.0
Pasco,US,28.29,-82.42,86.0,69.0,40.0,3.36,1584312529.0
Stornoway,GB,58.21,-6.39,33.01,73.0,47.0,3.31,1584312530.0
Ribeira Grande,PT,38.52,-28.7,60.8,77.0,40.0,4.7,1584312269.0
Lorengau,PG,-2.02,147.27,83.62,74.0,100.0,8.61,1584312412.0
Otjimbingwe,NA,-22.35,16.13,72.36,36.0,0.0,1.83,1584312532.0
Kamenka,RU,51.32,42.77,25.0,85.0,100.0,16.26,1584312533.0
Canutama,BR,-6.53,-64.38,76.69,93.0,90.0,2.48,1584312534.0
Vorukh,TJ,39.85,70.58,43.32,30.0,99.0,2.28,1584312535.0
Hun,LY,29.13,15.95,61.39,48.0,0.0,8.32,1584312536.0
Port Moresby,PG,-9.44,147.18,77.0,94.0,40.0,9.17,1584312329.0
Boyolangu,ID,-8.12,111.89,77.54,84.0,96.0,3.67,1584312538.0
Nishihara,JP,26.18,127.76,62.6,45.0,0.0,20.8,1584312432.0
Suntar,RU,62.14,117.63,32.41,92.0,100.0,7.83,1584312398.0
Olafsvik,IS,64.89,-23.71,31.71,78.0,100.0,22.41,1584312538.0
Sovetskiy,RU,61.36,63.58,8.37,82.0,100.0,9.57,1584312539.0
Tezu,IN,27.92,96.17,60.98,85.0,97.0,3.4,1584312539.0
